,time,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,linacce_x,linacce_y,linacce_z,grav_x,grav_y,grav_z,magnet_x,magnet_y,magnet_z,pos_x,pos_y,pos_z,ori_w,ori_x,ori_y,ori_z,rv_w,rv_x,rv_y,rv_z
0,1678843330637.0005,48.234153180803574,-16.767096121651786,77.82855050223215,-0.34,0.03,-0.8857149832589286,-0.5357149832589286,0.45571498325892856,0.0,0.19571498325892858,-0.42571498325892854,-0.8857149832589286,300.37024902343745,532.0897509765624,-598.9971554129464,1.637482622406684,0.5381191875325521,-0.10400412934027778,-0.282081,0.018774,0.589949,0.756332,0.2850479379087349,0.1324908728584818,-0.1868261100421351,-0.9307468452603648
1,1678843330637.1956,48.1812060546875,-16.74842529296875,77.8201904296875,-0.34,0.03,-0.88599365234375,-0.5359936523437501,0.45599365234375,0.0,0.19599365234375002,-0.42599365234375,-0.88599365234375,300.46973388671876,531.9902661132812,-599.5728857421875,1.6377312738769532,0.5381941067871094,-0.10405580078125,-0.2820838120723117,0.01877591648212166,0.5899482055768802,0.756331523050351,0.2850126342093983,0.1324383043925894,-0.18684941976760372,-0.9307604413176295
2,1678843330638.6245,47.79334681919643,-16.611653878348214,77.75894949776786,-0.34,0.03,-0.8880350167410714,-0.5380350167410715,0.45803501674107144,0.0,0.19803501674107143,-0.4280350167410714,-0.8880350167410714,301.19850097656246,531.2614990234374,-603.7903445870536,1.6395527470377604,0.5387429208007812,-0.10443431510416666,-0.2821043601046574,0.01878992043238609,0.5899424004121894,0.7563280376383512,0.28475397911964345,0.1320531999313363,-0.18702014596210736,-0.9308599034753668
3,1678843330641.1777,47.359700000000004,-16.456916406250002,77.69434687500001,-0.34,0.03,-0.89,-0.54,0.46,-0.00047109375,0.2,-0.43,-0.88952890625,301.9,530.56,-607.85,1.6428073115885418,0.539723528515625,-0.10511063541666667,-0.2821410743693216,0.01881494232362589,0.5899320269076899,0.7563218087371644,0.2842500029402633,0.13205436151730743,-0.1868867727309321,-0.93104051569097
4,1678843330644.7441,47.1771,-16.387014843750002,77.677228125,-0.34,0.03,-0.89,-0.54,0.46,-0.00189765625,0.2,-0.43,-0.88810234375,301.9,530.56,-607.85,1.6473533700086807,0.5410932662760417,-0.10605533680555555,-0.28219235678484256,0.018849893469789564,0.5899175348392389,0.7563131053652344,0.2835358271761847,0.13222192263236207,-0.18659479220355732,-0.9312930458976175
5,1678843330649.2131,46.9482875,-16.29942255859375,77.655776953125,-0.34,0.03,-0.89,-0.54,0.46,-0.0036852539062500003,0.2,-0.43,-0.88631474609375,301.9,530.56,-607.85,1.6530499471842448,0.5428096579589844,-0.10723912369791666,-0.2822566161313212,0.018893689959198108,0.5898993716656432,0.7563021949225321,0.2826406324459133,0.13243176193559741,-0.18622873611010046,-0.9316085832028075
6,1678843330654.4722,46.679025,-16.1963455078125,77.63053359375,-0.34,0.03,-0.89,-0.54,0.46,-0.0057888671875,0.2,-0.43,-0.8842111328125,301.9,530.56,-607.85,1.659753578374566,0.5448294773111979,-0.10863218315972223,-0.28233223304362515,0.01894522873503706,0.5898779926563905,0.756289349413985,0.2815867925699596,0.1326785140935171,-0.18579771043381182,-0.9319786144798827
7,1678843330660.4124,46.3748875,-16.079917871093752,77.60202070312499,-0.34,0.03,-0.89,-0.54,0.46,-0.00816494140625,0.2,-0.43,-0.88183505859375,301.9,530.56,-607.85,1.667325466889106,0.5471109045735677,-0.11020567230902778,-0.2824176408367718,0.019003442630671233,0.5898538382463401,0.7562748319668959,0.2803959528963663,0.13295698727324312,-0.18531052425172156,-0.9323948976055709
8,1678843330666.922,45.060088297526036,-15.84610595703125,77.15,-0.35,0.05320353190104167,-0.92,-0.55,0.49320353190104166,-0.04,0.2,-0.44,-0.88,306.47784708658855,528.2694746907551,-605.6427665201824,1.6756233928005644,0.5496110885579427,-0.11193003689236111,-0.282511234309915,0.01906723816722652,0.5898273599941704,0.756258912532881,0.27909031464471984,0.13326187102901318,-0.1847762180994898,-0.9328490551822679
9,1678843330673.8916,45.25669170673077,-16.18568284254808,77.20338341346154,-0.35222430889423073,0.06222430889423077,-0.92,-0.55,0.5022243088942308,-0.04,0.19777569110576923,-0.44,-0.88,316.19,523.41,-600.96,1.6845073146050349,0.5522878344401041,-0.11377617534722222,-0.2826114329954458,0.019135538624422053,0.5897990028480319,0.7562418573210148,0.27769176456880235,0.13358794737547128,-0.18420371059063828,-0.9333329179609079
10,1678843330681.2075,45.324223257211536,-16.528968224158653,77.33844651442308,-0.3578519381009615,0.06785193810096155,-0.92,-0.55,0.5078519381009615,-0.04,0.19214806189903846,-0.44,-0.88,316.19,523.41,-600.96,1.693832833951823,0.5550976346679687,-0.11571408072916667,-0.282716607502062,0.01920723380035749,0.5897692261144672,0.7562239414833771,0.27361863510364104,0.1341575628880504,-0.1836504226565178,-0.9345626054074021
11,1678843330688.7603,46.931462131076394,-19.209380425347224,77.32652994791667,-0.3652891710069444,0.08586751302083334,-0.92,-0.5552891710069445,0.5258675130208333,-0.04528917100694445,0.19,-0.44,-0.8747108289930555,316.19,523.41,-600.96,1.7020625535098806,0.556988472526999,-0.11728122038717831,-0.2809483187440468,0.018475256844462256,0.5903389812512179,0.7564565551953668,0.2678490824127723,0.13470209919402848,-0.18356672073898428,-0.9361712301453613
